NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3735882,63,12,99941.4,3692.683,1911.667,338,433,145,0,153.3333,689.0167
3735902,48,14,51758,4050.5,1035,606.6667,958,48,0,328,458.5
3735932,62,13,22130.8,4238.517,835.667,1386.6667,1111,15,0,600,168.1833
3735972,56,16,29028,7394.333,5678,701.6667,840.667,119,0,0,0
3735982,39,12,17960.6,1806.933,1280,248.3333,0,98,6.6667,0,108.9333
3735992,23,12,56587,2967.417,1137,260,879,60,0,131,413.75
3736002,41,11,50502,3493.5,1213.667,996.6667,760.667,29,10,0,178.5
3736022,40,13,41115,2688.917,344.333,736.6667,500,45,0,596.3333,293.25
3736092,32,15,58932,3514.167,748,804,375,837,13.3333,34.6667,478.1667
3736112,29,15,98365.8,4642.033,1237.333,996.6667,693,155,260,404,631.0333
3736122,78,12,17136,2326.333,499,108.3333,1316,0,0,103,110
3736142,66,12,35347,2231.667,530.333,1083.3333,125,130,0,93,0
3736152,52,13,46376,5029.667,1950.333,996.6667,1250,0,200,108.3333,524.3333
3736172,51,12,76872.8,6560,702,736.6667,2550,169,0,1160,569
3736192,53,13,180462.6,8249.133,3023.667,736.6667,488,258,0,382.6667,746.1333
3736222,37,12,3165,518.667,237,195,65,0,0,0,0
3736232,60,15,221502,14949.417,4936,1201.6667,2835.667,287,10,523.6667,1614.4167
3736242,65,12,53051,2140.667,676,433.3333,666.333,0,0,75,283.3333
3736262,72,12,17220,2841.333,1218.667,325,1096,65,0,0,0
3736282,54,13,71601,4186.767,564,816.6667,603.333,252,0,624,506.7667
3736292,28,12,32479,1834.55,597,346.6667,447,0,0,30,146.8833
3736302,56,14,235141,20002.112,9399,888.3333,724.667,5247,120,522.6667,1860.4456
3736312,45,16,67519.6,3296.55,825,970,437,108,136.3333,203,460.2167
3736372,36,14,92223,4998.083,1713,1125,774,154,16.6667,385.6667,663.0833
3736412,71,12,25505,1004.667,500,366.6667,0,0,0,138,0
3736432,37,15,150081.6,9772.667,5328,1755,486.667,196,85,839,837.3333
3736442,46,12,89800,9038.167,3292.333,1340,1465,113,300,1591.6667,886.1667
3736452,67,15,93513.2,3683,685,541.6667,80,88,0,365,510
3736462,28,13,74305.4,4194.067,994,281.6667,1530,116,0,745.3333,527.0667
3736522,41,12,96257,7780,4523,333.6667,83.333,138,0,740,765
3736532,57,14,57245,4814.583,2063.667,1603.3333,545,0,0,220,382.5833
3736552,42,13,25170,986.5,126,589.3333,66.667,55,0,0,112.1667
3736572,47,11,2328,754.667,193,541.6667,0,0,0,20,0
3736602,40,16,78248,4328.05,2724.333,736.6667,0,0,0,0,513.7167
3736612,55,15,279540,8124.396,1040,2015,1750,510,295,300,2008.3956
3736652,56,11,4879,739.25,615,34.6667,0,0,0,0,9.5833
3736662,46,12,82594,8263.083,2941,804,1298,424,61,740,575.75
3736672,45,16,118799,6305.167,2017.667,1070,673,274,0,476,1726.5
3736692,72,15,80075,3560.667,1039.667,650,630,160,0,376,0
3736702,55,13,98915.8,3666.95,1573,585,157.333,110,0,210,367.45
3736722,54,12,215793.4,10288.346,2572,1386.6667,2064,640,650,819,1801.3455
3736732,54,15,162265,14665.417,2047,1278.3333,3510.667,1030,0,2166.6667,2099.4167
3736742,82,14,159806.8,4148.65,1388.333,758.3333,0,122,0,264.3333,1615.65
3736752,25,15,32271.4,2089.417,1119,520,140,76,0,0,234.4167
3736762,33,15,83716,5651.333,1551.667,915.6667,1090,504,103,520,763.6667
3736772,37,15,159734.6,8078.5,4093.667,433.3333,106.667,91,0,301.6667,2350.5
3736782,54,16,321635,21935.891,13820.333,1191.6667,196,1931,416,345,3697.8911
3736852,33,12,15902,2542.333,960,736.6667,549.667,45,0,5,51
